display  D   display_settings.c:400  _al_score_display_settings       [   0.11368] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11380] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11393] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11404] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11415] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11426] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11435] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11446] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11456] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11467] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11476] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11489] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11517] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11535] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11557] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11573] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11588] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11603] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11614] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11622] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11628] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11639] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11660] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11667] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11678] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11688] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11698] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11708] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11719] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11729] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11739] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11749] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11758] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11768] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11783] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11790] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11804] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11812] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11826] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11833] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11846] Single Buffer requirement not met.
